Company,Symbol,IPO Date,Liquidation Date,?Trust Acct/Share,Trust Account,Unit Specs,Warrant Specs,Merger Target?,Intended Sector
Spartan Acquisition Corp. II,SPRQ,11/25/2020,11/30/2022,$10.00,"$300,000,000*",U=S+W/2,W=S@11.5,No,Energy in North America
Forest Road Acquisition Corp.,FRX,11/25/2020,11/30/2022,$10.00,"261,000,000*",U=S+W/3,W=S@11.5,No,TMT
Spring Valley Acquisition Corp.,SV,11/24/2020,5/27/2022,$10.10,"$202,000,000*",U=S+W/2,W=S@11.5,No,Sustainability
10X Capital Venture Acquisition Corp,VCVC,11/24/2020,5/27/2022,$10.00,"$175,000,000*",U=S+W/2,W=S@11.5,No,"Technology and tech-enabled businesses domestically and abroad in the consumer internet, ecommerce, software, healthcare and financial services"
Tiga Acquisition Corp.,TINV,11/24/2020,5/27/2021,$10.10,"$242,400,000*",U=S+W/2,W=S@11.5,No,Not specified
Genesis Park Acquisition Corp.,GNPK,11/24/2020,5/27/2022,$10.15,"$152,250,000*",U=S+W/2,W=S@11.5,No,"Businesses that offer differentiated products and services to commercial passenger airlines, cargo airlines or other aircraft operators"
Breeze Holdings Acquisition Corp.,BREZ,11/23/2020,11/25/2021,$10.15,"$116,725,000",U=S+W+R,W=S@11.5,No,"Assets used in exploring, developing, producing, transporting, storing, gathering, processing, fractionating, refining, distributing or marketing of natural gas, natural gas liquids, crude oil or refined products in North America"
LifeSci Acquisition II Corp.,LSAQ,11/20/2020,11/24/2022,$10.00,"$80,090,410",U=S,,No,Healthcare in North America
Kingswood Global Holdings Inc.,KWAC,11/20/2020,5/24/2022,$10.25,"$117,848,550",U=S+(3/4)W,W=S@11.5,No,"Financial services with a focus on differentiated financial services in the wealth management, financial advisory and investment management sectors"
Cascade Acquisition Corp.,CAS,11/20/2020,5/24/2022,$10.10,"$202,000,000*",U=S+W/2,W=S@11.5,No,Financial services
Omnichannel Acquisition Corp.,OCA,11/20/2020,5/24/2022,$10.00,"$200,000,000*",U=S+W/2,W=S@11.5,No,"¡°Omnichannel¡± businesses ¡ª technology-enabled cross-channel retail and consumer services ¡ª including the direct-to-consumer (¡°DTC¡±) / e-commerce retail, consumer healthcare, consumer marketplaces, consumer services and related sectors in North America"
